Player,Team,Type,M,Inn,B,Runs,Wkts,BBI,BBM,Econ,Avg,SR,5W,10W
Rashid Khan,Afghanistan,T20,48,48,1098,1124,89,05-Mar,05-Mar,6.14,12.63,12.34,2,0
Mujeeb Ur Rahman,Afghanistan,T20,19,19,432,443,25,Apr-15,Apr-15,6.15,17.72,17.28,0,0
Virat Kohli,India,Test,87,11,175,84,0,0/0,0/0,2.88,0,0,0,0
Rohit Sharma,India,Test,33,14,370,216,2,Jan-26,Jan-35,3.5,108,185,0,0
Shikhar Dhawan,India,Test,34,5,54,18,0,0/0,0/0,2,0,0,0,0
Shubman Gill,India,Test,2,0,0,0,0,0,0,0,0,0,0,0
Shreyas Iyer,India,Test,0,0,0,0,0,0,0,0,0,0,0,0
Manish Pandey,India,Test,0,0,0,0,0,0,0,0,0,0,0,0
Mayank Agarwal,India,Test,13,0,0,0,0,0,0,0,0,0,0,0
Prithvi Shaw,India,Test,5,0,0,0,0,0,0,0,0,0,0,0
Cheteshwar Pujara,India,Test,80,1,6,2,0,0/2,0/2,2,0,0,0,0
Ajinkya Rahane,India,Test,68,0,0,0,0,0,0,0,0,0,0,0
Hardik Pandya,India,Test,11,19,937,528,17,May-28,Jun-50,3.38,31.06,55.12,1,0
Hanuma Vihari,India,Test,12,10,345,180,5,Mar-37,Mar-38,3.13,36,69,0,0
Ravindra Jadeja,India,Test,51,97,13137,5351,220,Jul-48,10/154,2.44,24.32,59.71,9,1
Ravichandran Ashwin,India,Test,74,138,20391,9628,377,Jul-59,13/140,2.83,25.54,54.09,27,7
KL Rahul,India,Test,36,0,0,0,0,0,0,0,0,0,0,0
Sanju Samson,India,Test,0,0,0,0,0,0,0,0,0,0,0,0
Wriddhiman Saha,India,Test,38,0,0,0,0,0,0,0,0,0,0,0
Rishabh Pant,India,Test,15,0,0,0,0,0,0,0,0,0,0,0
Mohammed Shami,India,Test,50,95,8999,4966,180,Jun-56,9/118,3.31,27.59,49.99,5,0
Jasprit Bumrah,India,Test,17,34,3787,1706,79,Jun-27,Sep-86,2.7,21.59,47.94,5,0
Kuldeep Yadav,India,Test,6,10,989,579,24,May-57,6/119,3.51,24.12,41.21,2,0
Yuzvendra Chahal,India,Test,0,0,0,0,0,0,0,0,0,0,0,0
Navdeep Saini,India,Test,1,2,174,119,4,Feb-54,4/119,4.1,29.75,43.5,0,0
Shardul Thakur,India,Test,1,1,10,9,0,0/9,0/9,5.4,0,0,0,0
Umesh Yadav,India,Test,48,94,7621,4521,148,Jun-88,10/133,3.56,30.55,51.49,3,1
Mohammed Siraj,India,Test,2,4,519,234,7,Mar-37,May-77,2.71,33.43,74.14,0,0
